Hugo_Symbol,entrez_id
ACVRL1,94
AKT1,207
AKT2,208
AKT3,10000
ALK,238
APC,324
APEX1,328
AR,367
ARID1A,8289
ATM,472
ATP11B,23200
ATR,545
ATRX,546
AXL,558
BAP1,8314
BCL2L1,598
BCL9,607
BIRC2,329
BIRC3,330
BRAF,673
BRCA1,672
BRCA2,675
CCND1,595
CCND2,894
CCND3,896
CCNE1,898
CD274,29126
CD44,960
CDH1,999
CDK12,51755
CDK2,1017
CDK4,1019
CDK6,1021
CDKN1B,1027
CDKN2A,1029
CDKN2B,1030
CHEK1,1111
CREBBP,1387
CSNK2A1,1457
DCUN1D1,54165
EGFR,1956
ERBB2,2064
ESR1,2099
FANCA,2175
FANCD2,2177
FANCI,55215
FBXW7,55294
FGF19,9965
FGF3,2248
FGFR1,2260
FGFR2,2263
FGFR3,2261
FGFR4,2264
FLT3,2322
GAS6,2621
GATA3,2625
IGF1R,3480
IL6,3569
KIT,3815
KRAS,3845
MCL1,4170
MDM2,4193
MDM4,4194
MET,4233
MLH1,4292
MRE11,4361
MSH2,4436
MSH6,2956
MYC,4609
MYCL,4610
MYCN,4613
MYO18A,399687
NBN,4683
NF1,4763
NF2,4771
NKX2-1,7080
NKX2-8,26257
NOTCH1,4851
NOTCH2,4853
NOTCH3,4854
NTRK1,4914
NTRK2,4915
NTRK3,4916
PALB2,79728
PDCD1LG2,80380
PDGFRA,5156
PDGFRB,5159
PIK3CA,5290
PIK3CB,5291
PIK3R1,5295
PMS2,5395
PNP,4860
POLE,5426
PPARG,5468
PTCH1,5727
PTEN,5728
RAD50,10111
RAD51,5888
RAD51B,5890
RAD51C,5889
RAD51D,5892
RB1,5925
RICTOR,253260
RNF43,54894
RPS6KB1,6198
SETD2,29072
SLX4,84464
SMAD4,4089
SMARCA4,6597
SMARCB1,6598
SOX2,6657
STK11,6794
TERT,7015
TET2,54790
TIAF1,9220
TP53,7157
TSC1,7248
TSC2,7249
VHL,7428
WT1,7490
ZNF217,7764
